#
#"Frequency / GHz"	"S1,6 [Magnitude in dB]"
#------------------------------------------
1.3739999532700	-38.803178298101
1.3760000467300	-38.927474903056
1.3780000209808	-39.050489956876
1.3799999952316	-39.172254030467
1.3819999694824	-39.292797844148
1.3839999437332	-39.412157687153
1.3860000371933	-39.530371802780
1.3880000114441	-39.647479676685
1.3899999856949	-39.763523074957
1.3919999599457	-39.878540731026
1.3940000534058	-39.992572363173
1.3960000276566	-40.105653411237
1.3980000019073	-40.217820225573
1.3999999761581	-40.329100450865
1.4019999504089	-40.439517936102
1.4040000438690	-40.549095670238
1.4060000181198	-40.657842270011
1.4079999923706	-40.765766895015
1.4099999666214	-40.872867631509
1.4119999408722	-40.979135712143
1.4140000343323	-41.084555824849
1.4160000085831	-41.189101298515
1.4179999828339	-41.292741525623
1.4199999570847	-41.395434035094
1.4220000505447	-41.497130751503
1.4240000247955	-41.597774329676
1.4259999990463	-41.697306398457
1.4279999732971	-41.795653609391
1.4299999475479	-41.892744723031
1.4320000410080	-41.988500240194
1.4340000152588	-42.082840107080
1.4359999895096	-42.175677527767
1.4379999637604	-42.266931194246
1.4400000572205	-42.356514648078
1.4420000314713	-42.444347217042
1.4440000057220	-42.530350792389
1.4459999799728	-42.614449608040
1.4479999542236	-42.696577551409
1.4500000476837	-42.776674746085
1.4520000219345	-42.854690957576
1.4539999961853	-42.930586353768
1.4559999704361	-43.004331812388
1.4579999446869	-43.075911230558
1.4600000381470	-43.145321957678
1.4620000123978	-43.212574442146
1.4639999866486	-43.277694577164
1.4659999608994	-43.340721974674
1.4680000543594	-43.401709712145
1.4700000286102	-43.460726690673
1.4720000028610	-43.517854093634
1.4739999771118	-43.573187109125
1.4759999513626	-43.626831556413
1.4780000448227	-43.678905518086
1.4800000190735	-43.729536975495
1.4819999933243	-43.778860951784
1.4839999675751	-43.827019296991
1.4859999418259	-43.874161419584
1.4880000352859	-43.920440188892
1.4900000095367	-43.966008664906
1.4919999837875	-44.011024728579
1.4939999580383	-44.055642295656
1.4960000514984	-44.100013300685
1.4980000257492	-44.144289926588
1.5000000000000	-44.188616865554
1.5019999742508	-44.233131400046
1.5039999485016	-44.277967482628
1.5060000419617	-44.323248103181
1.5080000162125	-44.369088190626
1.5099999904633	-44.415593158116
1.5119999647141	-44.462856087448
1.5140000581741	-44.510962599214
1.5160000324249	-44.559982513496
1.5180000066757	-44.609975619949
1.5199999809265	-44.660990199481
1.5219999551773	-44.713058604182
1.5240000486374	-44.766204501231
1.5260000228882	-44.820436699598
1.5279999971390	-44.875750209401
1.5299999713898	-44.932130530069
1.5319999456406	-44.989548406883
1.5340000391006	-45.047963855773
1.5360000133514	-45.107325115485
1.5379999876022	-45.167569486006
1.5399999618530	-45.228624289566
1.5420000553131	-45.290406616618
1.5440000295639	-45.352825343015
1.5460000038147	-45.415781957542
1.5479999780655	-45.479169147964
1.5499999523163	-45.542876711104
1.5520000457764	-45.606786762094
1.5540000200272	-45.670780922045
1.5559999942780	-45.734735954205
1.5579999685287	-45.798531156380
1.5599999427795	-45.862043951695
1.5620000362396	-45.925153943817
1.5640000104904	-45.987746352152
1.5659999847412	-46.049708240497
1.5679999589920	-46.110936044427
1.5700000524521	-46.171330721469
1.5720000267029	-46.230803704522
1.5740000009537	-46.289275913102
1.5759999752045	-46.346676868377
1.5779999494553	-46.402951403762
1.5800000429153	-46.458051212208
1.5820000171661	-46.511943959739
1.5839999914169	-46.564608065085
1.5859999656677	-46.616034519405
1.5880000591278	-46.666227809292
1.5900000333786	-46.715200272562
1.5920000076294	-46.762976811166
1.5939999818802	-46.809595145430
1.5959999561310	-46.855097704617
1.5980000495911	-46.899535580540
1.6000000238419	-46.942967966506
1.6019999980927	-46.985456288419
1.6039999723434	-47.027067748023
1.6059999465942	-47.067866670246
1.6080000400543	-47.107922584797
1.6100000143051	-47.147298597929
1.6119999885559	-47.186057870295
1.6139999628067	-47.224256237574
1.6160000562668	-47.261941227648
1.6180000305176	-47.299155439046
1.6200000047684	-47.335932138395
1.6219999790192	-47.372287720508
1.6239999532700	-47.408233753965
1.6260000467300	-47.443763988915
1.6280000209808	-47.478860641616
1.6299999952316	-47.513491127868
1.6319999694824	-47.547605835343
1.6339999437332	-47.581141864397
1.6360000371933	-47.614022479967
1.6380000114441	-47.646151737076
1.6399999856949	-47.677424192168
1.6419999599457	-47.707717053029
1.6440000534058	-47.736894404253
1.6460000276566	-47.764813629927
1.6480000019073	-47.791314792101
1.6499999761581	-47.816237497703
1.6519999504089	-47.839408572733
1.6540000438690	-47.860654342157
1.6560000181198	-47.879797961586
1.6579999923706	-47.896667261363
1.6599999666214	-47.911088387951
1.6619999408722	-47.922898725028
1.6640000343323	-47.931941284611
1.6660000085831	-47.938073159755
1.6679999828339	-47.941167715499
1.6699999570847	-47.941113286823
1.6720000505447	-47.937817822795
1.6740000247955	-47.931213305753
1.6759999990463	-47.921253597314
1.6779999732971	-47.907915326446
1.6799999475479	-47.891204098460
1.6820000410080	-47.871147202872
1.6840000152588	-47.847801187031
1.6859999895096	-47.821244418788
1.6879999637604	-47.791579625750
1.6900000572205	-47.758934682304
1.6920000314713	-47.723453991113
1.6940000057220	-47.685302898204
1.6959999799728	-47.644662144127
1.6979999542236	-47.601729021138
1.7000000476837	-47.556705757294
1.7020000219345	-47.509806863126
1.7039999961853	-47.461251912956
1.7059999704361	-47.411264332097
1.7079999446869	-47.360064505414
1.7100000381470	-47.307873027573
1.7120000123978	-47.254905873514
1.7139999866486	-47.201371417186
1.7159999608994	-47.147471798388
1.7180000543594	-47.093396869594
1.7200000286102	-47.039325881128
1.7220000028610	-46.985425463573
1.7239999771118	-46.931849377332
1.7259999513626	-46.878734785800
1.7280000448227	-46.826206292086
1.7300000190735	-46.774371167646
1.7319999933243	-46.723320297876
1.7339999675751	-46.673130890598
1.7359999418259	-46.623860166027
1.7380000352859	-46.575555357361
1.7400000095367	-46.528241913900
1.7419999837875	-46.481933221288
1.7439999580383	-46.436625667187
1.7460000514984	-46.392304149121
1.7480000257492	-46.348935851538
1.7500000000000	-46.306478099084
1.7519999742508	-46.264873063576
1.7539999485016	-46.224051610061
1.7560000419617	-46.183934642485
1.7580000162125	-46.144432758751
1.7599999904633	-46.105447622655
1.7619999647141	-46.066872634989
1.7640000581741	-46.028594945556
1.7660000324249	-45.990496080654
1.7680000066757	-45.952452379682
1.7699999809265	-45.914339541828
1.7719999551773	-45.876028752829
1.7740000486374	-45.837393512709
1.7760000228882	-45.798305574442
1.7779999971390	-45.758642790783
1.7799999713898	-45.718283724913
1.7819999456406	-45.677112769484
1.7840000391006	-45.635023714473
1.7860000133514	-45.591913870461
1.7879999876022	-45.547691287158
1.7899999618530	-45.502275198055
1.7920000553131	-45.455593457306
1.7940000295639	-45.407585983336
1.7960000038147	-45.358207187999
1.7979999780655	-45.307421863176
