#
#"Frequency / GHz","S1,6 [Magnitude in dB]"
#------------------------------------------
1.3439999818802,-34.438445226698
1.3459999561310,-34.543710591918
1.3480000495911,-34.649284621467
1.3500000238419,-34.755262373900
1.3519999980927,-34.861736349098
1.3539999723434,-34.968789030364
1.3559999465942,-35.076493899733
1.3580000400543,-35.184912420660
1.3600000143051,-35.294092885967
1.3619999885559,-35.404063195048
1.3639999628067,-35.514838825517
1.3660000562668,-35.626412137575
1.3680000305176,-35.738757669605
1.3700000047684,-35.851825932784
1.3719999790192,-35.965550329669
1.3739999532700,-36.079837335587
1.3760000467300,-36.194578109682
1.3780000209808,-36.309638858823
1.3799999952316,-36.424870416656
1.3819999694824,-36.540104185656
1.3839999437332,-36.655159114134
1.3860000371933,-36.769839364698
1.3880000114441,-36.883943679965
1.3899999856949,-36.997262133497
1.3919999599457,-37.109584623285
