#
#"Frequency / GHz","S1,6 [Magnitude in dB]"
#------------------------------------------
1.1900000572205,-27.677990874585
1.1920000314713,-27.736955264533
1.1940000057220,-27.797038243293
1.1959999799728,-27.858195421771
1.1979999542236,-27.920376744552
1.2000000476837,-27.983529657686
1.2020000219345,-28.047594521909
1.2039999961853,-28.112510834964
1.2059999704361,-28.178217354870
1.2079999446869,-28.244650921368
1.2100000381470,-28.311749009490
1.2120000123978,-28.379451051117
1.2139999866486,-28.447700762360
1.2159999608994,-28.516441947683
1.2180000543594,-28.585626200216
1.2200000286102,-28.655208883587
1.2220000028610,-28.725154020749
1.2239999771118,-28.795430593794
1.2259999513626,-28.866016699878
1.2280000448227,-28.936899535866
1.2300000190735,-29.008071351531
1.2319999933243,-29.079537627389
1.2339999675751,-29.151310326410
1.2359999418259,-29.223409382174
1.2380000352859,-29.295862787411
1.2400000095367,-29.368708743405
1.2419999837875,-29.441990980482
1.2439999580383,-29.515757036164
1.2460000514984,-29.590064346552
1.2480000257492,-29.664970150656
1.2500000000000,-29.740537682887
1.2519999742508,-29.816833147946
1.2539999485016,-29.893921624575
1.2560000419617,-29.971868522273
1.2580000162125,-30.050737000423
1.2599999904633,-30.130589314473
1.2619999647141,-30.211481623121
1.2640000581741,-30.293469194538
1.2660000324249,-30.376595303350
1.2680000066757,-30.460900439695
1.2699999809265,-30.546416923470
1.2719999551773,-30.633167167889
1.2740000486374,-30.721166398896
1.2760000228882,-30.810417091011
1.2779999971390,-30.900915842488
1.2799999713898,-30.992646663221
1.2819999456406,-31.085583454650
1.2840000391006,-31.179692455846
1.2860000133514,-31.274928658605
1.2879999876022,-31.371238933252
1.2899999618530,-31.468560297392
1.2920000553131,-31.566826054801
1.2940000295639,-31.665958771296
1.2960000038147,-31.765879262573
1.2979999780655,-31.866503353936
1.2999999523163,-31.967743207849
1.3020000457764,-32.069512963746
1.3040000200272,-32.171723542977
1.3059999942780,-32.274292850649
1.3079999685287,-32.377139299259
1.3099999427795,-32.480187181920
1.3120000362396,-32.583370282698
1.3140000104904,-32.686628429159
1.3159999847412,-32.789912649407
1.3179999589920,-32.893184233649
1.3200000524521,-32.996418083482
1.3220000267029,-33.099601071321
1.3240000009537,-33.202732477261
1.3259999752045,-33.305827366915
1.3279999494553,-33.408912685367
1.3300000429153,-33.512027608040
1.3320000171661,-33.615225189906
1.3339999914169,-33.718570178317
1.3359999656677,-33.822136566335
1.3380000591278,-33.926006350615
1.3400000333786,-34.030271590822
1.3420000076294,-34.135027465424
1.3439999818802,-34.240371330869
1.3459999561310,-34.346403504840
1.3480000495911,-34.453222517190
1.3500000238419,-34.560923592574
1.3519999980927,-34.669596038132
1.3539999723434,-34.779319419896
1.3559999465942,-34.890167050775
1.3580000400543,-35.002196362723
1.3600000143051,-35.115452058021
1.3619999885559,-35.229961580800
1.3639999628067,-35.345736921524
1.3660000562668,-35.462769609009
1.3680000305176,-35.581030621157
1.3700000047684,-35.700469442776
1.3719999790192,-35.821016693606
1.3739999532700,-35.942578279495
1.3760000467300,-36.065040238063
1.3780000209808,-36.188266207659
1.3799999952316,-36.312101170884
1.3819999694824,-36.436371039272
1.3839999437332,-36.560885520726
1.3860000371933,-36.685438466620
1.3880000114441,-36.809815088276
1.3899999856949,-36.933788566074
1.3919999599457,-37.057131252229
1.3940000534058,-37.179611219885
1.3960000276566,-37.301003192293
1.3980000019073,-37.421086849544
1.3999999761581,-37.539656020865
1.4019999504089,-37.656521710694
1.4040000438690,-37.771511935084
1.4060000181198,-37.884484872830
1.4079999923706,-37.995321772847
1.4099999666214,-38.103939411235
1.4119999408722,-38.210282971065
1.4140000343323,-38.314334172169
1.4160000085831,-38.416110681561
1.4179999828339,-38.515660822318
1.4199999570847,-38.613069380626
1.4220000505447,-38.708447707070
1.4240000247955,-38.801939573710
1.4259999990463,-38.893707518901
1.4279999732971,-38.983935108816
1.4299999475479,-39.072822124293
1.4320000410080,-39.160574812594
1.4340000152588,-39.247404700321
1.4359999895096,-39.333519464453
1.4379999637604,-39.419123141060
1.4400000572205,-39.504403539168
1.4420000314713,-39.589535321397
1.4440000057220,-39.674665765900
1.4459999799728,-39.759921405611
1.4479999542236,-39.845395708651
1.4500000476837,-39.931151334272
1.4520000219345,-40.017214805617
1.4539999961853,-40.103576532477
1.4559999704361,-40.190192418254
1.4579999446869,-40.276974502122
