,frequency,fouriercoef
2059,4.9416000349045,(0.8726830624217925+0.9648979635360937j)
2060,4.943999994277999,(0.8629103630775994+0.9692264007537401j)
2061,4.9463999536514,(0.8531221956134374+0.972622983587693j)
2062,4.9488000322342,(0.8432458404036236+0.9751358553633946j)
2063,4.9511999916077,(0.8332110284294032+0.9768316937447368j)
2064,4.9535999509811,(0.8229519329643598+0.9778005974427243j)
2065,4.956000029563899,(0.812410158983905+0.9781219121708775j)
2066,4.9583999889373995,(0.8015340186457252+0.9779094103703316j)
2067,4.9607999483109,(0.7902784571318229+0.9772807569229642j)
2068,4.9632000268936,(0.778612268397664+0.9763348395674836j)
2069,4.965599986267099,(0.7665093702693024+0.9751997278031825j)
2070,4.967999945640599,(0.7539530035218309+0.9739871452322149j)
2071,4.9704000242233,(0.7409396833121598+0.9728090831019318j)
2072,4.9727999835968,(0.7274774234003285+0.9717663756987571j)
2073,4.9751999429703,(0.7135797873315379+0.9709655946941962j)
2074,4.977600021553,(0.6992777487329516+0.970484343751326j)
2075,4.979999980926499,(0.684603994300673+0.9704077312150288j)
2076,4.982400059509299,(0.6696089371781717+0.9707917982178849j)
2077,4.9848000188828,(0.6543490009052508+0.9716916485845255j)
2078,4.9871999782562,(0.6388859072824609+0.9731462275657607j)
2079,4.9896000568389995,(0.6232987490697361+0.9751745848851625j)
2080,4.9920000162125,(0.6076598327159157+0.9777922614196326j)
2081,4.9943999755859,(0.5920582294766312+0.9809904177563809j)
2082,4.9968000541687,(0.5765729628149465+0.9847641383627872j)
2083,4.9992000135421995,(0.5613053220594999+0.9890753742073963j)
2084,5.00159997291565,(0.5463423819821696+0.9938902199106998j)
2085,5.00399999189377,(0.5317783711362214+0.9991610155157362j)
2086,5.006400010871889,(0.5177037904277739+1.0048331553441878j)
2087,5.008799970245359,(0.5042070286475671+1.0108458154077784j)
2088,5.0111999892234795,(0.49136971990317946+1.0171351251373455j)
2089,5.0136000082016,(0.47927898673428526+1.0236260374742416j)
2090,5.01600002717972,(0.4680106533108379+1.030246113298812j)
2091,5.01839998655319,(0.4576345640021806+1.036921988901316j)
2092,5.02080000553131,(0.44821893764058895+1.0435807592860975j)
2093,5.023200024509429,(0.43981784245287514+1.050156784805532j)
2094,5.025599983882899,(0.4324948470016263+1.0565719245793321j)
2095,5.02800000286102,(0.42629539790654025+1.0627703665308932j)
2096,5.03040002183914,(0.42126653531995206+1.0686896673903359j)
2097,5.032799981212619,(0.4174471289484747+1.0742779556401114j)
2098,5.035200000190729,(0.4148755603593597+1.079489821497166j)
2099,5.03760001916885,(0.4135841414932542+1.0842860324217565j)
2100,5.03999997854233,(0.41360683904343354+1.0886402042099252j)
2101,5.04239999752045,(0.41496667972691714+1.0925302422816863j)
2102,5.04480001649857,(0.4176903251185844+1.0959469299429614j)
2103,5.047199975872039,(0.42179595453244767+1.0988906906474192j)
2104,5.04959999485016,(0.42729847618210504+1.1013714865964221j)
2105,5.0520000138282795,(0.434206092280071+1.1034083912900332j)
2106,5.0543999732017495,(0.44252514267570464+1.1050335336264485j)
2107,5.05679999217987,(0.4522489523004754+1.1062857127663897j)
2108,5.059200011157989,(0.46335972009797655+1.1072125007394984j)
2109,5.06159997053146,(0.4758349519936848+1.107869440689628j)
2110,5.063999989509579,(0.48963107632222846+1.10831358240074j)
2111,5.066400008487699,(0.5046934410825081+1.108609563561135j)
2112,5.06880002746582,(0.520950892093796+1.1088173405070805j)
2113,5.071199986839289,(0.5383101047993646+1.1089974364346968j)
2114,5.0736000058174096,(0.5566618100679275+1.109203933555552j)
2115,5.07600002479553,(0.5758740052481759+1.1094758042722166j)
2116,5.0783999841690095,(0.5957987594488405+1.1098437883690355j)
2117,5.08080000314713,(0.6162587274023963+1.110317472385976j)
2118,5.083200022125239,(0.6370680510686038+1.1108849274547357j)
2119,5.08559998149872,(0.6580127051489351+1.111502511685904j)
2120,5.088000000476839,(0.678873320696928+1.112105494654669j)
2121,5.090400019454959,(0.6994072834164369+1.11258287739982j)
2122,5.09279997882843,(0.7193706763894747+1.1127984162432742j)
2123,5.095199997806549,(0.7385153591799325+1.1125687057801859j)
2124,5.09760001678467,(0.7565877271888741+1.111670100181973j)
2125,5.09999997615814,(0.7733460540529897+1.1098389219906188j)
2126,5.10239999513626,(0.7885599959766045+1.1067711972402545j)
2127,5.10480001411438,(0.8020113696269338+1.1021221390145985j)
2128,5.10719997348785,(0.8135146489790195+1.0955153352246079j)
2129,5.10959999246597,(0.8229074442335911+1.0865389153176537j)
2130,5.112000011444089,(0.8300649456306033+1.0747609795288424j)
2131,5.11439997081757,(0.8349060806824742+1.0597331521462579j)
2132,5.11679998979568,(0.8373906973237091+1.0410000076399486j)
2133,5.1192000087738,(0.8375310810844834+1.0181132726879065j)
2134,5.12160002775192,(0.8353859714053478+0.9906353920564843j)
2135,5.1239999871254,(0.8310700595225953+0.9581631843844445j)
2136,5.12640000610352,(0.8247461836252334+0.9203380898186735j)
2137,5.12880002508163,(0.8166268994492913+0.8768583726719887j)
2138,5.13119998445511,(0.8069697102856779+0.8274935128675862j)
2139,5.13360000343323,(0.7960696124955486+0.7721019782665643j)
2140,5.136000022411349,(0.7842542832204433+0.7106404856864494j)
2141,5.138399981784819,(0.7718711810770635+0.6431790252634326j)
2142,5.1408000007629395,(0.7592807039571721+0.569905764335036j)
2143,5.14320001974106,(0.7468430648224214+0.4911395143499606j)
2144,5.14559997911453,(0.7349005013244927+0.4073326444206977j)
2145,5.147999998092649,(0.7237694095349827+0.31907209577145057j)
2146,5.15040001707077,(0.7137256081256211+0.22707698869049792j)
2147,5.152799976444239,(0.7049845745330323+0.13219372462216145j)
2148,5.155199995422359,(0.6976912367047792+0.03538589518778834j)
2149,5.157600014400479,(0.6919099570256826-0.06227807704671107j)
2150,5.159999973773959,(0.6876098693295507-0.15964401612463996j)
2151,5.162399992752079,(0.684652692018858-0.25549021698419727j)
2152,5.164800011730189,(0.6827920515665724-0.3485506442059543j)
2153,5.16719997110367,(0.6816687067137064-0.43754109781149j)
2154,5.16959999008179,(0.6808063062211609-0.5211877096679807j)
2155,5.172000009059909,(0.6796172436701458-0.598251501496188j)
