#
#"Frequency / GHz"	"S1,6 [Phase in Degrees]"
#-------------------------------------------
1.4320000410080	-107.40700129485
1.4340000152588	-108.49578932392
1.4359999895096	-109.58676207126
1.4379999637604	-110.67948301355
1.4400000572205	-111.77351452281
1.4420000314713	-112.86814940468
1.4440000057220	-113.96250906694
1.4459999799728	-115.05555840804
1.4479999542236	-116.14609365596
1.4500000476837	-117.23285865968
1.4520000219345	-118.31448744331
1.4539999961853	-119.38961394156
1.4559999704361	-120.45681787766
1.4579999446869	-121.51478178765
1.4600000381470	-122.56220545301
1.4620000123978	-123.59799350358
1.4639999866486	-124.62109965036
1.4659999608994	-125.63082298313
1.4680000543594	-126.62650059909
1.4700000286102	-127.60780481067
1.4720000028610	-128.57468481765
1.4739999771118	-129.52741533816
1.4759999513626	-130.46653953675
1.4780000448227	-131.39293271084
1.4800000190735	-132.30774179192
1.4819999933243	-133.21249650554
1.4839999675751	-134.10888926084
1.4859999418259	-134.99894332817
1.4880000352859	-135.88484860710
1.4900000095367	-136.76894657018
1.4919999837875	-137.65364899429
1.4939999580383	-138.54151588250
1.4960000514984	-139.43501391919
1.4980000257492	-140.33660071890
1.5000000000000	-141.24846035825
1.5019999742508	-142.17261001481
1.5039999485016	-143.11118600142
1.5060000419617	-144.06555438012
1.5080000162125	-145.03708393341
1.5099999904633	-146.02664057355
1.5119999647141	-147.03483286207
1.5140000581741	-148.06187397490
1.5160000324249	-149.10765610527
1.5180000066757	-150.17163555356
1.5199999809265	-151.25310091735
1.5219999551773	-152.35068356045
1.5240000486374	-153.46318595467
1.5260000228882	-154.58885514297
1.5279999971390	-155.72572669745
1.5299999713898	-156.87172461534
1.5319999456406	-158.02455169860
1.5340000391006	-159.18185704049
1.5360000133514	-160.34129735882
1.5379999876022	-161.50029649282
1.5399999618530	-162.65640374493
1.5420000553131	-163.80731725296
1.5440000295639	-164.95058052857
1.5460000038147	-166.08406502218
1.5479999780655	-167.20580097388
1.5499999523163	-168.31409314517
1.5520000457764	-169.40730673579
1.5540000200272	-170.48429064014
1.5559999942780	-171.54411824683
1.5579999685287	-172.58624114755
1.5599999427795	-173.61060524853
